Job_Title,Job_Category,ISCO_4,ISCO_3,ISCO_2,ISCO_4_name,State,Company_Name,Employer_Category,Date_Posted,Employment_type,Salary,Description,Requirements,Benefits,Work_Type,Job_URL,Scope_Category,City,Date_Scraped,German_Level,Licensing_Recognition,Visa_Sponsorship,Relocation_Support,Qualification_Requirements,Years_Experience,Healthcare_Setting,Company_URL,Job_ID,Raw_ID
Registered Nurse / Healthcare and Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Schiller Pflege- und Gesundheitsdienste GmbH,Long-term Care & Social Services,2026-06-17,Part-time,,"Qualified nursing professional responsible for planning and implementing individualized care plans, carrying out medically prescribed treatment, coordinating with the care team, and promoting client independence in daily life.","Completed training as an Altenpfleger, Gesundheits- und Krankenpfleger, pediatric nurse, or Pflegefachmann/frau; openness to digital care documentation; friendly, communicative, and empathetic manner; career entrants welcome.","Above-average pay based on qualification, salary paid on the last working day of the month, optional occupational pension, monthly schedule provided in advance, good transport links, employee discounts, and an individual onboarding plan.",On-site,https://www.stepstone.de/stellenangebote--Examinierte-r-Gesundheits-und-Krankenpfleger-schwester-als-Pflegefachkraft-m-w-d-Berlin-Schiller-Pflege-und-Gesundheitsdienste-GmbH--12548202-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Angehörigen sowie behandelnden Ärztinnen und Ärzten Ihr Profil eine erfolgreich abgeschlossene Ausbildung zum Altenpfleger, Gesundheits- und Krankenpfleger, zum (Kinder-) Krankenpfleger | Führerscheins der Klasse B Wir bieten eine überdurchschnittliche Vergütung nach Qualifikation, die Gehaltszahlung am letzten Werktag im Monat, auf Wunsch eine betriebliche A | n, deren Angehörigen sowie behandelnden Ärztinnen und Ärzten • eine erfolgreich abgeschlossene Ausbildung zum Altenpfleger, Gesundheits- und Krankenpfleger, zum (Kinder-) Krankenpfleger",,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/schiller-pflege-und-gesundheitsdienste-gmbh-396848/jobs,job-11,10
Nursing Professional / Care Assistant (Outpatient),Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,AVICENNA häusliche Krankenpflege GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Outpatient care role covering basic and medically prescribed treatment care, guidance of care staff, household support, and liaison with clients' relatives and guardians.","State-recognised qualification as Altenpfleger or Gesundheits- und Krankenpfleger or equivalent; valid driving licence; team orientation, sense of responsibility, and empathy.","Continuing education opportunities, individual induction, and support for personal and professional development.",On-site,https://www.stepstone.de/stellenangebote--Ab-sofort-suche-Pflegefachkraefte-Pflegehilfskraefte-m-w-d-Pflegeassistent-in-Altenpflege-Berlin-AVICENNA-haeusliche-Krankenpflege-GmbH--13217147-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"zu den Angehörigen und Betreuer/innen unserer Kund/innen Das bringen Sie mit - Qualifikation als Pflegekraft (z | staatlich anerkannte/r Altenpfleger/in oder Gesundheits- und Krankenpfleger/in) oder ein gleichwert | ig anerkannter Abschluss - Führerschein - Teamfähigkeit, Verantwortungsbewusstsein und ein großes Herz f",,Residential & Long-Term Care,,job-12,11
Dental Assistant,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Berlin,Dr. med. dent. Pourya Farrokh,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Dental assistant role supporting dentists during treatments, preparing and clearing treatment rooms, advising patients, carrying out hygiene and sterilisation measures, and handling documentation and appointment preparation.",Completed training as a Zahnmedizinische Fachangestellte or a completed dental degree without German practising licence; friendly and service-oriented manner; reliable and structured approach; good written and spoken German.,"Modern, patient-oriented practice; respectful and collegial team; two conveniently located Berlin sites; regular working hours and fair remuneration; support for professional development; long-term prospects in a growing practice.",On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-m-w-d-Berlin-Dr-med-dent-Pourya-Farrokh--13784295-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,minvorbereitung - Optional: Prophylaxe- oder organisatorische Aufgaben (je nach Qualifikation) Dein Profil - Abgeschlossene Ausbildung als Zahnmedizinische Fachangestellte ( | minvorbereitung - Optional: Prophylaxe- oder organisatorische Aufgaben (je nach Qualifikation) - Abgeschlossene Ausbildung als Zahnmedizinische Fachangestellte (m/w/d) oder,,Medical & Dental Practices,,job-13,12
Registered Nursing Professional (Outpatient),Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Pflegedienst Berlin City MT GmbH,Outpatient & Ambulatory Care,2026-06-17,Part-time,,"Outpatient nursing professional independently performing treatment care including medication administration, wound care, and vital-sign monitoring, while advising clients and relatives and documenting all nursing services.","Nursing qualification (e.g. Altenpflegerin or Gesundheits- und Krankenpflegerin); enjoyment of working with people; Class B driving licence; team spirit, reliability, and sense of responsibility.",Attractive hourly rate of €24.00; permanent contract; family-like and appreciative team; flat hierarchies and short decision paths; modern company vehicles or travel cost subsidy; individual training and development opportunities.,On-site,https://www.stepstone.de/stellenangebote--Examinierte-Pflegefachkraefte-m-w-d-ambulant-Treptow-Koepenick-Berlin-Pflegedienst-Berlin-City-MT-GmbH--13202020-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"Zur Verstärkung unseres Teams suchen wir ab sofort eine examinierte Pflegefachkraft (m/w/d)– in Vollzeit, Teilzeit oder auf Minijob-Basis",,Residential & Long-Term Care,,job-14,13
Operating Theatre Nurse,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Brandenburg,Oberlinhaus,Hospitals & Acute Care,2026-06-17,Full-time,,"Perioperative nursing role in the Oberlinklinik covering surgical preparation, documentation, quality assurance, and interdisciplinary teamwork in the operating theatre.",Relevant nursing qualification; structured and careful working style; willingness to undertake further training; alignment with the organisation's values.,"Attractive pay in accordance with AVR DWBO collective agreement with systematic salary progression, occupational pension, family-friendly arrangements, additional benefits, structured onboarding, and professional development opportunities.",On-site,https://www.stepstone.de/stellenangebote--OP-Pflegekraft-gn-in-der-Oberlinklinik-Potsdam-Deutschland-Oberlinhaus--13322152-inline.html,HEALTHCARE,Potsdam,2026-06-19,,,,,tung Dokumentation Qualitätssicherung Teamarbeit: Ihr Profil Das ist Ihr Profil Qualifikation: Arbeitsweise: Fortbildung: Werteorientierung Unser Angebot an Sie Vergütung : | • Teamarbeit: • Qualifikation:,,Hospitals & Acute Care,,job-15,14
Dental Assistant Apprentice,Dental Assistants and Therapists (3251),3251,325,32,Dental Assistants and Therapists,Brandenburg,Kieferorthopädie Ludwigsfelde MVZ GmbH,Outpatient & Ambulatory Care,2026-06-17,Full-time,,"Apprenticeship position in an orthodontic practice where trainees learn to assist orthodontists during treatments, prepare and clear treatment rooms, sterilise instruments, and carry out administrative and documentation tasks.",Interest in training as a Zahnmedizinische Fachangestellte; friendly and courteous manner; team orientation and willingness to learn; curiosity about modern and digital processes.,Supportive and friendly team with a positive learning atmosphere; flexible working hours to balance training and leisure time.,On-site,https://www.stepstone.de/stellenangebote--Zahnmedizinische-Fachangestellte-ZFA-Azubi-m-w-d-Ludwigsfelde-Kieferorthopaedie-Ludwigsfelde-MVZ-GmbH--11569374-inline.html,HEALTHCARE,Ludwigsfelde,2026-06-19,,,,,Qualifikation Interesse an einer Ausbildung zur Zahnmedizinischen Fachangestellten (m/w/d) Fr,,Medical & Dental Practices,,job-16,15
Nursing Professional,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Berlin,Pacura med GmbH,Staffing Agencies & Other,2026-06-17,Part-time,,"Staffing agency placing qualified nursing professionals (Pflegefachkraft, Gesundheits- und Krankenpfleger, or Altenpfleger) across various care settings to provide holistic patient care, act as a central point of contact for relatives and physicians, and support medical measures.","Completed nursing training (e.g. Pflegefachkraft, Gesundheits- und Krankenpfleger, or Altenpfleger); friendly and empathetic manner; team orientation; reliability and motivation.","Up to €4,550 gross basic salary; supplements for Sunday, public holiday, night, and overtime work; 35-hour full-time week (part-time from 20 hours); up to 30 days flexible annual leave; occupational pension.",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-Gesundheits-und-Krankenpfleger-Altenpfleger-m-w-d-bis-zu-4-550-Zulagen-Berlin-Kassel-Rostock-Potsdam-Schwerin-Cottbus-Greifswald-Stralsund-Pacura-med-GmbH--14160932-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Über uns Du hast eine abgeschlossene Ausbildung in der Pflege z | Das bringst Du mit Du hast eine abgeschlossene Ausbildung in der Pflege (z | • Du hast eine abgeschlossene Ausbildung in der Pflege (z,,Residential & Long-Term Care,https://www.stepstone.de/cmp/de/pacura-med-gmbh-206403/jobs,job-17,16
Nursing Care Manager,Health Services Managers (1342),1342,134,13,Health Service Managers,Berlin,B + L GmbH,Long-term Care & Social Services,2026-06-17,Full-time,,"Nursing service manager (Pflegedienstleitung) responsible for advising clients and relatives, planning and organising care and support processes, training and supervising care staff, ensuring quality standards, and building a professional network.",Completed three-year nursing qualification and the statutory qualification to act as Pflegedienstleitung; empathy; strong organisational and leadership skills; motivation and openness to ongoing development.,Good work-life balance and planning reliability; responsible leadership role; career and continuing education opportunities; attractive remuneration; strong team; regular training and professional development.,On-site,https://www.stepstone.de/stellenangebote--Pflegedienstleitung-bei-Home-Instead-Berlin-Reinickendorf-Berlin-Deutschland-B-L-GmbH--12744580-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,Qualifikationen: Abgeschlossene dreijährige Berufsausbildung in der Pflege | Die notwendige Qualifikation zur Ausübung der Tätigkeit als Pflegedienstleitung | • Abgeschlossene dreijährige Berufsausbildung in der Pflege,,Other Healthcare Providers,,job-18,17
Medical Assistant,Medical Assistants (3256),3256,325,32,Medical Assistants,Berlin,Alexianer St. Hedwig Kliniken Berlin GmbH,Rehabilitation & Mental Health,2026-06-16,Full-time,,"Medical assistant role in a psychiatric outpatient clinic covering appointment management, patient reception, administrative tasks, liaison with cooperation partners, basic clinical activities such as blood pressure measurement and medication preparation, and support with billing and documentation.",Completed training as Medizinischer Fachangestellter or Arzthelfer; structured and reliable working style; high social competence and empathy especially with mentally ill patients; team orientation and flexibility.,Permanent full-time position in an appreciative work environment; multiprofessional team with flat hierarchies; innovative care setting; thorough induction and ongoing professional support; development opportunities.,On-site,https://www.stepstone.de/stellenangebote--Medizinischer-Fachangestellter-mwd-Berlin-Alexianer-St-Hedwig-Kliniken-Berlin-GmbH--14093599-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,"ion Mitwirkung an der Verbesserung von Arbeitsabläufen und Konzepten Ihr Profil Abgeschlossene Ausbildung als Medizinischer Fachangestellter oder Arzthelfer (mwd) Verantwortungsvolle, s | • Mitwirkung an der Verbesserung von Arbeitsabläufen und Konzepten • Abgeschlossene Ausbildung als Medizinischer Fachangestellter oder Arzthelfer (mwd)",,Mental Health & Rehabilitation,https://www.stepstone.de/cmp/de/alexianer-st-hedwig-kliniken-berlin-gmbh-119503/jobs,job-19,18
Care Advisor,Nursing Professionals (2221),2221,222,22,Nursing Professionals,Brandenburg,meinestadt.de,Long-term Care & Social Services,2026-06-16,Full-time,,"Care advisory role involving personal counselling of people in need of care and their relatives, building a professional network, mentoring care workers, and ensuring complete and accurate documentation of all care measures.",Completed three-year nursing qualification; empathy and openness; willingness to learn and take initiative; appreciation for clients' and colleagues' needs.,"Plannable, family-friendly working hours with no weekend or shift work; company car provided.",On-site,https://www.stepstone.de/stellenangebote--Pflegeberater-m-w-d-Falkensee-meinestadt-de--14093333-inline.html,HEALTHCARE,Falkensee,2026-06-19,,,,,Ihr Profil Ihr Profil Abgeschlossene dreijährige Berufsausbildung in der Pflege | • Abgeschlossene dreijährige Berufsausbildung in der Pflege,,Other Healthcare Providers,https://www.stepstone.de/cmp/de/meinestadtde-218724/jobs,job-20,19
"Pflegefachkraft (m/w/d), Berlin",CLASSIFICATION_FAILED,,,,,Berlin,Eldebna ambulanter Pflegedienst GmbH,,2026-06-16,Part-time,,"Durchführung der ambulanten Pflege gemäß ärztlicher Anordnungen und Pflegeplan Fachkundige Umsetzung von Grund- und Behandlungspflege Erfassung der geleisteten Pflege in digitalen Dokumentationssystemen Überwachung des Gesundheitszustands und Weitergabe wichtiger Informationen an Team und Leitung Kooperation mit Ärzten, Angehörigen und weiteren Beteiligten Mitwirkung an der Gewährleistung und Verbesserung der Pflegequalität","Erfolgreich absolvierte Ausbildung zur Pflegefachkraft Mindestens zweijährige Praxis in der ambulanten Pflege Organisationsgeschick, Einfühlungsvermögen und Verantwortungsgefühl Versierter Umgang mit digitalen Tools und Aufgeschlossenheit gegenüber zeitgemäßen Arbeitsmethoden","Jahresgehalt ab 50.000 bis 54.000 Euro plus leistungsorientierte Sonderzahlung Digitale Systeme für Dokumentation und Tourenplanung Unterstützung durch Verwaltung und Leitungsteam Eigenverantwortliches Arbeiten im Pflegealltag Ein engagiertes, multikulturelles Team",On-site,https://www.stepstone.de/stellenangebote--Pflegefachkraft-m-w-d-Berlin-Eldebna-ambulanter-Pflegedienst-GmbH--13341561-inline.html,HEALTHCARE,Berlin,2026-06-19,,,,,,,Medical & Dental Practices,https://www.stepstone.de/cmp/de/eldebna-ambulanter-pflegedienst-gmbh-364552/jobs,job-21,20
